work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,full_text,full_text_type,full_text_license,parent_work_id,keywords,languages,topics,cleaned_conference_year,lower_full_text,count_Gephi,lower_count_Gephi,toolname_Gephi
1597,2013 - Nebraska,Nebraska,Freedom to Explore,2013,ADHO,ADHO,University of Nebraska–Lincoln,Lincoln,Nebraska,United States,http://dh2013.unl.edu/,Digitizing Serialized Fiction,,Kirk Hess,"paper, specified ""short paper""","Introduction
One barrier to locating serialized fiction in a digital newspaper archive is the fact that the serialized fiction themselves are not indexed, and individual articles do not have subject terms or tags associated with them that would identify them as fiction. As a result, articles are difficult to find unless the reader browses a large volume of issues or simply hits upon a salutary keyword search. Keyword searching of the collection is more effective for articles on topics in farming or farm life than for works of fiction. Unless the reader is looking for stories by a specific author or for a known story title, keyword searching of fiction is highly ineffective.

While the software used by most archives does a good job of connecting articles in a single issue, the reader does not know where to find the next installment in a serialized work of fiction, so he or she has to find it manually by browsing the collection or doing a keyword search. Finally, while the OCR scanning was done to the highest standard, this is an imperfect process, and much of the content cannot be adequately OCR’d due to background noise and broken letters, features of the original newspapers that impede scanning.

This paper summarized the process of our project that was completed over 15 weeks in the summer of 2012. Our goal was to complete the manual indexing process that had already been started previously, display serialized fiction articles in a new repository, evaluate multiple software packages to see which ones were the most promising for use in the future, and evaluate any automated ways of finding serialized fiction.

Method and Results
Manual Indexing
We experimented with three digital library systems, a Drupal/Fedora based repository (Islandora) (http://islandora.ca/), converting the fiction into TEI P5 and displaying it in the California Digital Library’s eXtensible Text Framework (XTF) (http://www.cdlib.org/services/publishing/tools/xtf/) and Omeka (http://omeka.org) a PHP-based publishing platform for digital library objects. We were unable to get Islandora’s OCR correction module installed so we stopped using it in favor of Omeka. We used XSLT to transform the PrXML into very simple TEI5 files, which we were able to upload to XTF, but the lack of an editor and the intensely manual process of text encoding was also rejected in favor of Omeka. TEI Example: http://uller.grainger.uiuc.edu:8080/xtf/search

Ultimately, we decided on using Omeka with the Scripto Plugin for correction. Serialized fiction articles in one title, the Farmer’s Wife, was manually indexed in a spreadsheet, and graduate assistants converted those stories from PrXML into an exhibit, added Dublin Core metadata and links to the newspaper archive from the new serialized fiction collection. The end result was index of serialized fiction that would increase the accessibility of these articles. Omeka Exhibit: http://uller.grainger.illinois.edu/omeka/

Crowdsourcing OCR correction
The University of Illinois Digital Newspaper collections are in Olive Software ActivePaper Archive, which has a method for administrators to correct text but not users. Omeka provides a plugin called ‘Scripto’ for text correction that we were able to successfully use to correct the text in selected articles. We also evaluated Veridian (http://www.dlconsulting.com/veridian/), which is a commercial digital newspaper library solution used by Trove Digitised Newspapers (National Library of Australia), From the Page (http://beta.fromthepage.com/) and Islandora (http://www.islandlives.ca/). From the Page and Islandora were both very difficult to install and administer, and while not free we felt Veridian was a much better approach and we are evaluating it as part of our future newspaper digitization efforts.

Text Analysis
How can we identify serialized fiction without having to have a human find it, index it in a spreadsheet and manually extract it from the archive? Certain n-grams are common within serialized fiction such as ‘chapter’, ‘the end’, ‘to be continued’ and could be used to simply search for keywords within documents; we could also calculate which words occur most frequently in fiction vs. other types of articles and use those terms to automatically tag articles.

We also evaluated using topic analysis to find fiction. We evaluated the 580 articles we had already identified as serialized fiction using Mallet to find 25 topics with 25 words each. Figure 1. shows the top 25 topics modeled as a network using Gephi, while figure 2 shows the topic words ordered by frequency.


Figure 1


Figure 2

Nodes were ranked by betweenness centrality and topic 14 had the highest at 51,321.01 and its component n-grams along with the other top topics could be used to find serialized fiction in other titles.

One final text analysis technique that could be useful is identifying proper names is Named Entity Extraction. While we made an effort to manually remove names from the topic analysis, as you can see they kept reappearing in the results. By using named entity extraction we could eliminate proper names from the topic analysis to make them more accurate, and to link fiction together by the character’s names. All three of these techniques (keyword frequency, topic analysis, named entity extraction) I plan on evaluating in a future study.

Conclusion
Serialized fiction is an important component of historical newspapers and by making it more accessible to patrons and researchers we can expand the use and usefulness of our digital newspaper collections. The manual indexing approach was relatively inexpensive to accomplish but was time consuming and difficult to do over a large corpus of pages. Two promising approaches to find and digitize serialized fiction in our newspaper archive are adding a crowdsourcing feature to enable users to identify article types and correct mistakes, and utilizing text analysis techniques to identify fiction programmatically. We hope to report on our efforts at the latter at the DH 2013 conference.

References
Bastian M., S. Heymann, and M. Jacomy (2009). Gephi: an open source software for exploring and manipulating networks. International AAAI Conference on Weblogs and Social Media.
Brandes, U. (2001). A Faster Algorithm for Betweenness Centrality. Journal of Mathematical Sociology25 163-177.
Cohen, D. (2008). Introducing Omeka. Dan Cohen's Digital Humanities Blog. http://www.dancohen.org/2008/02/20/introducing-omeka/.
Islandora. http://islandora.ca/.
Island Lives. http://www.islandlives.ca/
McCallum, A. K. (2002). MALLET: A Machine Learning for Language Toolkit. http://www.cs.umass.edu/~mccallum/mallet.
Veridian. http://www.dlconsulting.com/veridian/.",txt,This text is republished here with permission from the original rights holder.,,crowdsourcing;serialized fiction;text analysis,English,crowdsourcing;data mining / text mining;digitisation - theory and practice;text analysis,2013-01-01,"introduction
one barrier to locating serialized fiction in a digital newspaper archive is the fact that the serialized fiction themselves are not indexed, and individual articles do not have subject terms or tags associated with them that would identify them as fiction. as a result, articles are difficult to find unless the reader browses a large volume of issues or simply hits upon a salutary keyword search. keyword searching of the collection is more effective for articles on topics in farming or farm life than for works of fiction. unless the reader is looking for stories by a specific author or for a known story title, keyword searching of fiction is highly ineffective.

while the software used by most archives does a good job of connecting articles in a single issue, the reader does not know where to find the next installment in a serialized work of fiction, so he or she has to find it manually by browsing the collection or doing a keyword search. finally, while the ocr scanning was done to the highest standard, this is an imperfect process, and much of the content cannot be adequately ocr’d due to background noise and broken letters, features of the original newspapers that impede scanning.

this paper summarized the process of our project that was completed over 15 weeks in the summer of 2012. our goal was to complete the manual indexing process that had already been started previously, display serialized fiction articles in a new repository, evaluate multiple software packages to see which ones were the most promising for use in the future, and evaluate any automated ways of finding serialized fiction.

method and results
manual indexing
we experimented with three digital library systems, a drupal/fedora based repository (islandora) (http://islandora.ca/), converting the fiction into tei p5 and displaying it in the california digital library’s extensible text framework (xtf) (http://www.cdlib.org/services/publishing/tools/xtf/) and omeka (http://omeka.org) a php-based publishing platform for digital library objects. we were unable to get islandora’s ocr correction module installed so we stopped using it in favor of omeka. we used xslt to transform the prxml into very simple tei5 files, which we were able to upload to xtf, but the lack of an editor and the intensely manual process of text encoding was also rejected in favor of omeka. tei example: http://uller.grainger.uiuc.edu:8080/xtf/search

ultimately, we decided on using omeka with the scripto plugin for correction. serialized fiction articles in one title, the farmer’s wife, was manually indexed in a spreadsheet, and graduate assistants converted those stories from prxml into an exhibit, added dublin core metadata and links to the newspaper archive from the new serialized fiction collection. the end result was index of serialized fiction that would increase the accessibility of these articles. omeka exhibit: http://uller.grainger.illinois.edu/omeka/

crowdsourcing ocr correction
the university of illinois digital newspaper collections are in olive software activepaper archive, which has a method for administrators to correct text but not users. omeka provides a plugin called ‘scripto’ for text correction that we were able to successfully use to correct the text in selected articles. we also evaluated veridian (http://www.dlconsulting.com/veridian/), which is a commercial digital newspaper library solution used by trove digitised newspapers (national library of australia), from the page (http://beta.fromthepage.com/) and islandora (http://www.islandlives.ca/). from the page and islandora were both very difficult to install and administer, and while not free we felt veridian was a much better approach and we are evaluating it as part of our future newspaper digitization efforts.

text analysis
how can we identify serialized fiction without having to have a human find it, index it in a spreadsheet and manually extract it from the archive? certain n-grams are common within serialized fiction such as ‘chapter’, ‘the end’, ‘to be continued’ and could be used to simply search for keywords within documents; we could also calculate which words occur most frequently in fiction vs. other types of articles and use those terms to automatically tag articles.

we also evaluated using topic analysis to find fiction. we evaluated the 580 articles we had already identified as serialized fiction using mallet to find 25 topics with 25 words each. figure 1. shows the top 25 topics modeled as a network using gephi, while figure 2 shows the topic words ordered by frequency.


figure 1


figure 2

nodes were ranked by betweenness centrality and topic 14 had the highest at 51,321.01 and its component n-grams along with the other top topics could be used to find serialized fiction in other titles.

one final text analysis technique that could be useful is identifying proper names is named entity extraction. while we made an effort to manually remove names from the topic analysis, as you can see they kept reappearing in the results. by using named entity extraction we could eliminate proper names from the topic analysis to make them more accurate, and to link fiction together by the character’s names. all three of these techniques (keyword frequency, topic analysis, named entity extraction) i plan on evaluating in a future study.

conclusion
serialized fiction is an important component of historical newspapers and by making it more accessible to patrons and researchers we can expand the use and usefulness of our digital newspaper collections. the manual indexing approach was relatively inexpensive to accomplish but was time consuming and difficult to do over a large corpus of pages. two promising approaches to find and digitize serialized fiction in our newspaper archive are adding a crowdsourcing feature to enable users to identify article types and correct mistakes, and utilizing text analysis techniques to identify fiction programmatically. we hope to report on our efforts at the latter at the dh 2013 conference.

references
bastian m., s. heymann, and m. jacomy (2009). gephi: an open source software for exploring and manipulating networks. international aaai conference on weblogs and social media.
brandes, u. (2001). a faster algorithm for betweenness centrality. journal of mathematical sociology25 163-177.
cohen, d. (2008). introducing omeka. dan cohen's digital humanities blog. http://www.dancohen.org/2008/02/20/introducing-omeka/.
islandora. http://islandora.ca/.
island lives. http://www.islandlives.ca/
mccallum, a. k. (2002). mallet: a machine learning for language toolkit. http://www.cs.umass.edu/~mccallum/mallet.
veridian. http://www.dlconsulting.com/veridian/.",2.0,2.0,Gephi
1755,2013 - Nebraska,Nebraska,Freedom to Explore,2013,ADHO,ADHO,University of Nebraska–Lincoln,Lincoln,Nebraska,United States,http://dh2013.unl.edu/,Not Exactly Prima Facie: Understanding the Representation of the Human Through the Analysis of Faces in World Painting,,Juan Luis Suárez;Javier de la Rosa Pérez;Roberto Ulloa,poster / demo / art installation,"In his 1872 book The Expression of Emotions in Man and Animals (Darwin 1872), Charles Darwin drew our attention to the relationship between human expressions, movements and emotional states, and tried to frame his conclusions by highlighting the similarities between humans and animals. The light he shed on cultural differences with respect to the appearance of the face and variations in expressions perceived across different groups to communicate the same emotions is also important.
More recent scientific evidence highlights the importance that the human beings give to the face. The brain has a specialized amygdala to discriminate scenes in favor of facial expressions, a primitive mechanism to detect potentially dangerous situations (Hariri et al. 2002), that explains our impulse to immediately look at people faces and try to read their facial expression. Finally, the recent discovery of “mirror neurons” (Rizzolatti and Craighero 2004) and their connection with the imitative ability of several primates offers a glimpse about the social construction of emotions, helps to explain the spread of behaviors within human groups, and opens up the possibility of a phenomenology of human expressions.
Nevertheless, the fascination with the human face is not something new in humanities. It has been present since the beginnings of art history; artists have always sought to relate the face to the human body (Chase 2005) and, especially, to the different ways in which how faces reflect the human condition. In this sense, human facial representations contain a human expressions and emotions archive that can help us understand, through a science of the face (Cleese and Ekman 2001), various human condition traits that evolved through time and space. We aim to answer questions about periods in art history, such as the Baroque significance as a culture derived from human expansion. Even if we cannot say that Baroque is just as a historical period, before the discovery of America all faces in art were mostly european; the presence of indigenous faces in paintings is a big disrupt. Another example would be the cultural meaning of the progressive human face disappearing from modern painting. Our methodology analyzes this through facial recognition techniques, data mining, graph theory and visualization and cultural history.
Quantitative analysis of huge amounts of data has provided answers to new and different questions that otherwise couldn’t have been considered (Michel et al. 2011). The study borrows some ideas from the Culturomics (Michel et al. 2011) concept by creating a set of more than 123,500 paintings from all periods of art history, and applying a face recognition algorithm used in Facebook’s photo-tagging system#. The result is a set of over 26,000 faces ready to be analyzed according to several features extracted by the algorithm.
The extracted information accuracy may fluctuate depending on several factors, such as the reproduction quality and size; the thematic content, a portrait is not the same than a hunting scene; the pictorial style, e.g., Cubism versus Figurative art; the lighting, dark and hellish overtones as opposed to daytime or celestial images; or even the contrast between the background and skin tone. At the same time, these elements also provide information about how human faces are depicted by authors, styles and cultures across time. Once a face has been recognized, it provides data about the position of eyes, mouth, chin and ears — what we call the face basic features. If the confidence measure we have reached during the recognition process is satisfactory, we can consider gender, mood, position of lips, range of age or even if the person is wearing glasses — we call these extended features of facial recognition.
 
Figure 1:
Example of face graph for two randomly selected paintings. The red crosses indicate what we called face basic features. The blue lines show the different distances in between the features.
The methodology tackles the study of this huge amount of features in three steps. First, we build a graph with the set of basic features. Second, we look for clusters in the extended features. Third, we compare the graphs and the clusters, corresponding to the basic and extended features respectively, using time intervals and space as factors of the comparison. The selection of the procedures in each of the steps considers different strategies to address the fluctuations in accuracy. What follows is a more detailed explanation of the main mathematical and computational tools used for the processing of the data in each step.
For the basic features graph (Figure 1), we apply the Elastic Bunch Graph Matching (Wiskott et al. 1997) to the extracted data, and then we calculate the resulting weighted graph after applying graph similarity functions like Euclidean Geometry Similarity and Least Square Geometry Similarity. Once the graphs that represent the 26,000 faces are done, we normalize the weights and prune those relationships with weights below the first quartile. Then, a combination of YiFan Hu Multilevel (Hu 2005) and ForceAtlas (Bastian et al. 2009) layouts algorithms are run against the graph to see how the faces are clustered according to their modularity class.
For the extended features clustering, we create a vector for each face and run the K-Means method (Sculley 2010) that is able to cluster unlabeled data, i.e there is no need of a pre-training process but the classification emerges naturally from the data similarities. We check the clusters obtained according to their homogeneity and completeness, according to the definitions given by Rosenberg and Hirschberg (Rosenberg and Hirschberg 2007), in order to establish a good value for V-measure, a conditional entropy-based external cluster evaluation measure that indicates the success of a clustering solution.
Finally, we compare the two sets: the basic features set using graphs and the extended features set using clustering by K-Means method (Sculley 2010). At this point, we are at the perfect position to analyze and characterize each of the groups according to different historical perspectives and cultural questions, for instance, the distinction among styles by giving a minimum set of features that determines its membership. A similar set of features is obtained for a particular interval of time or a specific geographical region. Extending that analysis we are able to study the evolution of these sets of features over time.
In this study, we tackle three important issues that also show the potential of this kind of work to develop new approaches to cultural history and to establish some yardsticks in order to complement the incipient methodology for a Big History (Christian 2004) approach to human culture. First, we show how the analysis of the representation of human faces — both the internal features and in its relative position to the rest of the composition — offers important data to determine periods and borders in the history of art beyond the generalizations supported by the notions of “style”, “genre” and “national history”. Second, we study the correlations between the European expansion overseas from the 16th Century onwards, and the introduction of new human “types” in world paintings, focusing on concepts of identity and gender (with special emphasis on the size and form of the forehead), and relating the results to notions of Baroque, hybridization and globalization (Suarez 2007; Suarez 2008). Finally, we move to the 20th Century and study the disappearance of the human face from art in relation to Ortega y Gasset’s concept of the “dehumanization of art” (Ortega y Gasset 1968) and the artistic and political movements of the first half of the century.
References
Bastian M., S. Heymann, and M. Jacomy (2009). Gephi: an open source software for exploring and manipulating networks. International AAAI Conference on Weblogs and Social Media.
Chase, P. G. (2005). The Emergence of Culture: The Evolution of a Uniquely Human Way of Life. Birkhäuser.
Christian, D. (2004). Maps of time: an introduction to big history. Heldref Publications.
Cleese, J., and P. Ekman. (2001) The Human Face. [BBC] John Cleese, Paul Ekman. http://www.bbc.co.uk/programmes/b00pfqy6
Darwin, C. (1872). The expression of the emotions in man and animals. London: John Murray.
Hariri, A. R., et al. (2002). The Amygdala Response to Emotional Stimuli: A Comparison of Faces and Scenes.NeuroImage 17: 317–323.
Hu, Y. (2005). Efficient, high-quality force-directed graph drawing. Mathematica Journal. mathematica-journal.com.
Michel, J. B., et al. (2011). Quantitative Analysis of Culture Using Millions of Digitized Books. Science 331(6014): 176-182.
Ortega y Gasset, J. (1968). The Dehumanization of Art and Other Essays on Art, Culture, and Literature. Princeton Paperbacks. 128.
Press notice: https://developers.face.com/signup/?g and http://face.com/blog/facebook-acquires-face-com/ Accessed October, 31st , 2012.
Rizzolatti, G., and L. Craighero, (2004). The mirror-neuron system. Annual Revision Neuroscience.annualreviews.org
Rosenberg, A., and J. Hirschberg. (2007). V-measure: A conditional entropy-based external cluster evaluation measure'. In Proceedings of the 2007 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning held June 2007 in Prague. 410–420.
Sculley, D. (2010). 'Web Scale K-Means clustering'. Proceedings of the 19th international conference on World wide web.
Suarez, J. L. (2007). Hispanic Baroque: A Model for the Study of Cultural Complexity in the Atlantic World. South Atlantic Review 72(1): 31-47.
Suarez, J. L. (2008). Complejidad y Barroco. Revista de Occidente. 323. 58-74.
Wiskott, L., et al. (1997). 'Face recognition by elastic bunch graph matching. Pattern Analysis and Machine Intelligence'. IEEE Transactions. 19(7): 775-779.",txt,This text is republished here with permission from the original rights holder.,,big culture;clustering;face recognition;history of art;human emotions,English,anthropology;art history;content analysis;corpora and corpus activities;cultural studies;data mining / text mining;image processing,2013-01-01,"in his 1872 book the expression of emotions in man and animals (darwin 1872), charles darwin drew our attention to the relationship between human expressions, movements and emotional states, and tried to frame his conclusions by highlighting the similarities between humans and animals. the light he shed on cultural differences with respect to the appearance of the face and variations in expressions perceived across different groups to communicate the same emotions is also important.
more recent scientific evidence highlights the importance that the human beings give to the face. the brain has a specialized amygdala to discriminate scenes in favor of facial expressions, a primitive mechanism to detect potentially dangerous situations (hariri et al. 2002), that explains our impulse to immediately look at people faces and try to read their facial expression. finally, the recent discovery of “mirror neurons” (rizzolatti and craighero 2004) and their connection with the imitative ability of several primates offers a glimpse about the social construction of emotions, helps to explain the spread of behaviors within human groups, and opens up the possibility of a phenomenology of human expressions.
nevertheless, the fascination with the human face is not something new in humanities. it has been present since the beginnings of art history; artists have always sought to relate the face to the human body (chase 2005) and, especially, to the different ways in which how faces reflect the human condition. in this sense, human facial representations contain a human expressions and emotions archive that can help us understand, through a science of the face (cleese and ekman 2001), various human condition traits that evolved through time and space. we aim to answer questions about periods in art history, such as the baroque significance as a culture derived from human expansion. even if we cannot say that baroque is just as a historical period, before the discovery of america all faces in art were mostly european; the presence of indigenous faces in paintings is a big disrupt. another example would be the cultural meaning of the progressive human face disappearing from modern painting. our methodology analyzes this through facial recognition techniques, data mining, graph theory and visualization and cultural history.
quantitative analysis of huge amounts of data has provided answers to new and different questions that otherwise couldn’t have been considered (michel et al. 2011). the study borrows some ideas from the culturomics (michel et al. 2011) concept by creating a set of more than 123,500 paintings from all periods of art history, and applying a face recognition algorithm used in facebook’s photo-tagging system#. the result is a set of over 26,000 faces ready to be analyzed according to several features extracted by the algorithm.
the extracted information accuracy may fluctuate depending on several factors, such as the reproduction quality and size; the thematic content, a portrait is not the same than a hunting scene; the pictorial style, e.g., cubism versus figurative art; the lighting, dark and hellish overtones as opposed to daytime or celestial images; or even the contrast between the background and skin tone. at the same time, these elements also provide information about how human faces are depicted by authors, styles and cultures across time. once a face has been recognized, it provides data about the position of eyes, mouth, chin and ears — what we call the face basic features. if the confidence measure we have reached during the recognition process is satisfactory, we can consider gender, mood, position of lips, range of age or even if the person is wearing glasses — we call these extended features of facial recognition.
 
figure 1:
example of face graph for two randomly selected paintings. the red crosses indicate what we called face basic features. the blue lines show the different distances in between the features.
the methodology tackles the study of this huge amount of features in three steps. first, we build a graph with the set of basic features. second, we look for clusters in the extended features. third, we compare the graphs and the clusters, corresponding to the basic and extended features respectively, using time intervals and space as factors of the comparison. the selection of the procedures in each of the steps considers different strategies to address the fluctuations in accuracy. what follows is a more detailed explanation of the main mathematical and computational tools used for the processing of the data in each step.
for the basic features graph (figure 1), we apply the elastic bunch graph matching (wiskott et al. 1997) to the extracted data, and then we calculate the resulting weighted graph after applying graph similarity functions like euclidean geometry similarity and least square geometry similarity. once the graphs that represent the 26,000 faces are done, we normalize the weights and prune those relationships with weights below the first quartile. then, a combination of yifan hu multilevel (hu 2005) and forceatlas (bastian et al. 2009) layouts algorithms are run against the graph to see how the faces are clustered according to their modularity class.
for the extended features clustering, we create a vector for each face and run the k-means method (sculley 2010) that is able to cluster unlabeled data, i.e there is no need of a pre-training process but the classification emerges naturally from the data similarities. we check the clusters obtained according to their homogeneity and completeness, according to the definitions given by rosenberg and hirschberg (rosenberg and hirschberg 2007), in order to establish a good value for v-measure, a conditional entropy-based external cluster evaluation measure that indicates the success of a clustering solution.
finally, we compare the two sets: the basic features set using graphs and the extended features set using clustering by k-means method (sculley 2010). at this point, we are at the perfect position to analyze and characterize each of the groups according to different historical perspectives and cultural questions, for instance, the distinction among styles by giving a minimum set of features that determines its membership. a similar set of features is obtained for a particular interval of time or a specific geographical region. extending that analysis we are able to study the evolution of these sets of features over time.
in this study, we tackle three important issues that also show the potential of this kind of work to develop new approaches to cultural history and to establish some yardsticks in order to complement the incipient methodology for a big history (christian 2004) approach to human culture. first, we show how the analysis of the representation of human faces — both the internal features and in its relative position to the rest of the composition — offers important data to determine periods and borders in the history of art beyond the generalizations supported by the notions of “style”, “genre” and “national history”. second, we study the correlations between the european expansion overseas from the 16th century onwards, and the introduction of new human “types” in world paintings, focusing on concepts of identity and gender (with special emphasis on the size and form of the forehead), and relating the results to notions of baroque, hybridization and globalization (suarez 2007; suarez 2008). finally, we move to the 20th century and study the disappearance of the human face from art in relation to ortega y gasset’s concept of the “dehumanization of art” (ortega y gasset 1968) and the artistic and political movements of the first half of the century.
references
bastian m., s. heymann, and m. jacomy (2009). gephi: an open source software for exploring and manipulating networks. international aaai conference on weblogs and social media.
chase, p. g. (2005). the emergence of culture: the evolution of a uniquely human way of life. birkhäuser.
christian, d. (2004). maps of time: an introduction to big history. heldref publications.
cleese, j., and p. ekman. (2001) the human face. [bbc] john cleese, paul ekman. http://www.bbc.co.uk/programmes/b00pfqy6
darwin, c. (1872). the expression of the emotions in man and animals. london: john murray.
hariri, a. r., et al. (2002). the amygdala response to emotional stimuli: a comparison of faces and scenes.neuroimage 17: 317–323.
hu, y. (2005). efficient, high-quality force-directed graph drawing. mathematica journal. mathematica-journal.com.
michel, j. b., et al. (2011). quantitative analysis of culture using millions of digitized books. science 331(6014): 176-182.
ortega y gasset, j. (1968). the dehumanization of art and other essays on art, culture, and literature. princeton paperbacks. 128.
press notice: https://developers.face.com/signup/?g and http://face.com/blog/facebook-acquires-face-com/ accessed october, 31st , 2012.
rizzolatti, g., and l. craighero, (2004). the mirror-neuron system. annual revision neuroscience.annualreviews.org
rosenberg, a., and j. hirschberg. (2007). v-measure: a conditional entropy-based external cluster evaluation measure'. in proceedings of the 2007 joint conference on empirical methods in natural language processing and computational natural language learning held june 2007 in prague. 410–420.
sculley, d. (2010). 'web scale k-means clustering'. proceedings of the 19th international conference on world wide web.
suarez, j. l. (2007). hispanic baroque: a model for the study of cultural complexity in the atlantic world. south atlantic review 72(1): 31-47.
suarez, j. l. (2008). complejidad y barroco. revista de occidente. 323. 58-74.
wiskott, l., et al. (1997). 'face recognition by elastic bunch graph matching. pattern analysis and machine intelligence'. ieee transactions. 19(7): 775-779.",1.0,1.0,Gephi
