work_id,conference_label,conference_short_title,conference_theme_title,conference_year,conference_organizers,conference_series,conference_hosting_institutions,conference_city,conference_state,conference_country,conference_url,work_title,work_url,work_authors,work_type,full_text,full_text_type,full_text_license,parent_work_id,keywords,languages,topics,cleaned_conference_year,lower_full_text,count_Voyant,lower_count_Voyant,toolname_Voyant
1580,2013 - Nebraska,Nebraska,Freedom to Explore,2013,ADHO,ADHO,University of Nebraska–Lincoln,Lincoln,Nebraska,United States,http://dh2013.unl.edu/,4Humanities: Designing Digital Advocacy,,Lindsay Thomas;Alan Liu;Geoffrey Rockwell;Stéfan Sinclair;Melissa Terras;Jared Bielby;Victoria Smith;Mark Turcato;Christine Henseler,"paper, specified ""long paper""","Introduction: Cuts, Crisis and Criticisms of the Humanities
The Great Recession beginning in 2008 has resulted in a series of budgetary cuts to many universities, education programs, and cultural institutions that reflect indifference about, and even hostility toward, the humanities and arts in favor of scientific, engineering, business, and other applied fields. Even scientists are now concerned about the perceived legitimacy of their ""basic research"" when it lacks evident short-term application. However, the sciences have an established tradition of public advocacy and media communication that is quite effective in putting their discoveries before the public. The humanities have no such consistent, planned tradition of advocacy, and in many ways are starting from scratch.

This paper argues for and demonstrates planned humanities advocacy using the special affordances of the digital humanities. In particular, it discusses how the 4Humanities initiative is leveraging DH for next-generation advocacy. In this paper, we will:

Show how 4Humanities uses DH to help analyze public discourse, both pro and con, about the humanities (including text analysis of such discourse as well as crowd-sourced generation of arguments for the humanities).
Show how statistics and other evidence about the contribution of the humanities to society can be analyzed and visualized in support of effective arguments.
Discuss the role of 4Humanities and, more generally, how DH can provide special tools for humanities advocacy, while humanities advocacy can in return incentivize the creation of next-generation DH research and teaching tools with a built-in public engagement dimension.
Analysis of Arguments Against the Humanities
One way to bolster advocacy for the humanities is first to look closely at the arguments made in public against them. We have compiled a small corpus of recent articles (especially from news sources accessed by a broad public) representative of criticisms of the humanities (Auslin, 2012; Bauerlein, 2011; Cohan, 2012a; Cohan, 2012b; Ellouk, 2011; Fendrich, 2009; Fish, 2007; Fish 2008; Fund, 2012; Knapp, 2011; Murdoch, 2011; Pidgeon, 2007; Riley, 2012; Sini, 2011; Stephens, 2012; Wente, 2012; Wood, 2012).


Fig 1:
Voyant Collocate Cluster Visualization (Sinclair and Rockwell)

We find that arguments critical of the humanities cluster around certain ideas. Principally, detractors accuse the humanities of lacking cultural and/or economic relevance. The most nuanced critiques mix or shade the charges of cultural and economic irrelevance. But other arguments refute the social usefulness of the humanities entirely, simply taking for granted their complete economic and social irrelevance. (Interestingly, however, some of these articles also defend irrelevance as a virtue, as in the case of arguments from friends of the humanities who feel that irrelevance is the basic nature of the humanities and is perfectly acceptable.)

A related critique of the professoriate in the humanities is that our work is no longer accessible to a larger educated public. The argument is that we are our own worst enemies because we have descended into theoretical turf battles that no one cares about. For these commentators such cultural irrelevance goes hand in hand with the supposed lack of respect that academics show for the public’s values, as epitomized in Marxism, feminism, post-colonialism, and other approaches that attack iconic ideas. The antidote sometimes proposed is a return to a nebulous concept of the traditional humanities — e.g., to the venerable search for the “beautiful.”

This paper will summarize our reading of the articles as well as present results from some text analysis of other rhetoric about the humanities.

Analysis of Arguments For the Humanities
As important as it is to know the arguments critical of the humanities, it is also important to gather good arguments for the humanities. 4Humanities has taken two approaches to this. The first is to blog good arguments as we come across them with summaries for those who are looking for essays to help them in their advocacy. We have also summarized these in a digestible form for people to review (Bielby, 2012). Finally we ran an All Our Ideas vote on the value of the humanities (http://allourideas.org/4humanities). At the time of writing this proposal there were over 1600 votes and 31 user submitted possible answers (as opposed to 12 seeds that we provided.) The top choices at the time of writing included:


There is obviously overlap in the top choices, but these indicate what the digital humanities community considers important. In the paper we will provide a fuller analysis of the data along with our list of the best arguments.

Looking Closely at the Statistics
“Liberal arts graduates frequently catch or surpass graduates with career-oriented majors in both job quality and compensation.” (Koc, 2011)

In addition to defining and communicating the cultural value of the humanities, the 4Humanities initiative is also committed to gathering data on the economic value of the humanities. One of the most pernicious arguments against the humanities has been the poor job prospects of graduating humanists. For this reason, we review the statistical arguments carefully, especially to highlight the fact that the data on compensation of humanists at mid-career paints a different story. A humanist may find it harder to get a first job with a degree, but she/he will probably rise faster than many with professional certification.

When making arguments for the humanities’ contribution to society, of course, it can be difficult to produce statistics, given that there has been no comprehensive study that gathers together available facts and figures in a usable manner. As part of the 4Humanities project we have been compiling and listing all statistics we can find in the published literature about the benefit of the humanities to society. This was done by collating the literature – including newspaper articles, reports, websites, and op-ed pieces (listed on the 4Humanities website) – and locating numeric references to the humanities. We have compiled such quantitative evidence, and at DH2013 we will present an infographic that sums up the statistical argument that the humanities are relevant to economic and intellectual development.

In addition, we have recently begun our “Infographics Friday” series (http://humanistica.ualberta.ca/category/for-the-public/humanities-infographics/), highlighting a particular statistic or graphical representation on the 4Humanities website once a week, to demonstrate the range of evidence. A core remit of 4Humanities is to gather, analyse, and disseminate this disparate information to provide a knowledge base upon which others can build their opinions and bolster their understanding of the humanities.

Conclusion: 4Humanities and a Digital Humanities response to the Cuts, Crisis, and Criticism
We argue that the mission of public engagement and advocacy in the humanities as embodied by the 4Humanities initiative provides a unique way to consolidate leading technological and methodological directions in DH with outreach to society. The humanities today have an advantage that was not available earlier: the analytical and communication methods of the digital humanities. Not only do the digital humanities provide a strong argument for the relevance of humanities learning in a digital age; they also provide unique, fresh ways of studying the contributions of the humanities to society and then getting the message out. DH research and humanities advocacy can be one, where DH helps advance advocacy, and, reciprocally, the advocacy mission helps drive research in DH. The hunt is now on to develop and extend new generations of digital humanities platforms and tools that can integrate the core research and teaching work of humanists with public visibility and engagement. Such platforms and tools (for publishing, editing, research, pedagogy, etc.) can be designed from the ground up, both to serve the needs of academics and to engage with today's networked public. This paper is a step in that direction.

References
Auslin, M. (2012). Knowledge is Good. National Review Online. 15 March. http://www.aei.org/article/education/higher-education/knowledge-is-good/ (accessed 13 March 2013).
Bauerlein, M. (2011). Oh, the Humanities! The Weekly Standard. 16 May. http://www.weeklystandard.com/articles/oh-humanities_559340.html (accessed 13 March 2013).
Bielby, J. (2012). Arguments for the Humanities. CIRCA Wiki, October. http://circa.cs.ualberta.ca/index.php/CIRCA:Arguments_FOR_the_Humanities (accessed 13 March 2013).
Cohan, P. (2012a). To Boost Post-College Prospects, Cut Humanities Departments. Forbes, 29 May. http://www.forbes.com/sites/petercohan/2012/05/29/to-boost-post-college-prospects-cut-humanities-departments/ (accessed 13 March 2013).
Cohan, P. (2012b). The 13 Most Useless Majors, From Philosophy to Journalism. The Daily Beast, 23 April. http://www.thedailybeast.com/galleries/2012/04/23/the-13-most-useless-majors-from-philosophy-to-journalism.html (accessed 13 March 2013).
Davidson, C. N. (2011). Strangers on a Train. Academe. 97 (5). http://www.aaup.org/AAUP/pubsres/academe/2011/SO/Feat/davi.htm (accessed 13 March 2013).
Davidson, C. N. (2012). Humanities 2.0: Promise, Perils, Predictions. In Gold, M. (ed), Debates in the Digital Humanities. Minneapolis: University of Minnesota Press. 476-489.
Davidson, C. N., and D. T. Goldberg (2004). A Manifesto for the Humanities in a Technological Age. The Chronicle of Higher Education: The Chronicle Review. 13 Feb.
Delblanco, A. (2011). College: What It Was, Is, and Should Be. Princeton, NJ: Princeton University Press.
Ellouk, B. (2011). Do We Still Need the Humanities? The Daily of the University of Washington. 26 July. http://dailyuw.com/news/2011/jul/26/do-we-still-need-humanities/ (accessed 13 March 2013).
Fendrich, L. (2009). The Humanities Have No Purpose. The Chronicle of Higher Education, 20 March. http://chronicle.com/blogs/brainstorm/the-humanities-have-no-purpose/6738 (accessed 13 March 2013).
Fish, S. (2007). Bound For Academic Glory? The New York Times, 23 December. http://opinionator.blogs.nytimes.com/2007/12/23/bound-for-academic-glory/ (accessed 13 March 2013).
Fish, S. (2008). Will the Humanities Save Us? The New York Times, 6 January. http://opinionator.blogs.nytimes.com/2008/01/06/will-the-humanities-save-us/ (accessed 13 March 2013).
Fish, S. (2010). The Crisis of the Humanities Officially Arrives. The New York Times, 11 October. http://opinionator.blogs.nytimes.com/2010/10/11/the-crisis-of-the-humanities-officially-arrives/ (accessed 13 March 2013).
Fund, J. (2012). Censoring Naomi Riley. The National Review Online, 12 May. http://www.nationalreview.com/articles/299765/censoring-naomi-riley-john-fund (accessed 13 May 2013).
Kirschenbaum, M. (2012). Digital Humanities As/Is a Tactical Term. In Gold, M. (ed), Debates in the Digital Humanities. Minneapolis: University of Minnesota Press, 415-428.
Knapp, S. (2011). The Enduring Dilemma of the Humanities. The Phi Beta Kappa Society, 29 March. http://www.pbk.org/home/FocusNews.aspx?id=741 (accessed 13 March 2013).
Koc, E. W. (2011). Just Wait 10 Years. New York Times, 21 March. http://www.nytimes.com/roomfordebate/2011/03/20/career-counselor-bill-gates-or-steve-jobs/your-college-major-matter-less-over-time. (accessed 13 March 2013).
Lakoff, G. (2004). Don’t Think of an Elephant!: Know Your Values and Frame the Debate. White River, VT: Chelsea Green Publishing Company.
Liu, A. (2012). Where Is Cultural Criticism in the Digital Humanities? In Gold, M. (ed), Debates in the Digital Humanities. Minneapolis, MN: University of Minnesota Press, 490-509.
Murdoch, R. (2011). The Steve Jobs Model for Education Reform. The Wall Street Journal, 15 October. http://online.wsj.com/article/SB10001424052970203914304576631100415237430.html (accessed 13 March 2013).
Pidgeon, S. (2007). Commented on Fish, S. Bound For Academic Glory? The New York Times, 23 December. http://opinionator.blogs.nytimes.com/2007/12/23/bound-for-academic-glory/#comment-100883 (accessed 13 March 2013).
Riley, N. S. (2012). The Academic Mob Rules. The Wall Street Journal, 8 May. http://online.wsj.com/article/SB10001424052702304363104577391842133259230.html (accessed 13 May 2013).
Sinclair, S., and G. Rockwell Collocates Cluster, from Voyant Tools. http://docs.voyant-tools.org/tools/links/ (accessed 13 March 2013).
Sini, M. (2011). Oh the Humanities! (OR: A Critique of Crisis). OverLand, 22 February. http://overland.org.au/blogs/loudspeaker/2011/02/%E2%80%98oh-the-humanities%E2%80%99-or-a-critique-of-crisis/ (accessed 13 March 2013).
Stephens, B. (2012). To the Class of 2012. The Wall Street Journal, 9 May. http://online.wsj.com/article/SB10001424052702304451104577389750993890854.html (accessed 13 March 2013).
Wente, M. (2012). Quebec’s University Students are in for a Shock. The Globe and Mail, 1 May. http://www.theglobeandmail.com/commentary/quebecs-university-students-are-in-for-a-shock/article4104304/ (accessed 13 March 2013).
Wood, P. (2012). Rick Santorum is Right. The Chronicle of Higher Education, 29 February. http://chronicle.com/blogs/innovations/rick-santorum-is-right/31769 (accessed 13 March 2013).",txt,This text is republished here with permission from the original rights holder.,,4humanities;digital humanities;humanities advocacy,English,crowdsourcing;digital humanities - institutional support;text analysis,2013-01-01,"introduction: cuts, crisis and criticisms of the humanities
the great recession beginning in 2008 has resulted in a series of budgetary cuts to many universities, education programs, and cultural institutions that reflect indifference about, and even hostility toward, the humanities and arts in favor of scientific, engineering, business, and other applied fields. even scientists are now concerned about the perceived legitimacy of their ""basic research"" when it lacks evident short-term application. however, the sciences have an established tradition of public advocacy and media communication that is quite effective in putting their discoveries before the public. the humanities have no such consistent, planned tradition of advocacy, and in many ways are starting from scratch.

this paper argues for and demonstrates planned humanities advocacy using the special affordances of the digital humanities. in particular, it discusses how the 4humanities initiative is leveraging dh for next-generation advocacy. in this paper, we will:

show how 4humanities uses dh to help analyze public discourse, both pro and con, about the humanities (including text analysis of such discourse as well as crowd-sourced generation of arguments for the humanities).
show how statistics and other evidence about the contribution of the humanities to society can be analyzed and visualized in support of effective arguments.
discuss the role of 4humanities and, more generally, how dh can provide special tools for humanities advocacy, while humanities advocacy can in return incentivize the creation of next-generation dh research and teaching tools with a built-in public engagement dimension.
analysis of arguments against the humanities
one way to bolster advocacy for the humanities is first to look closely at the arguments made in public against them. we have compiled a small corpus of recent articles (especially from news sources accessed by a broad public) representative of criticisms of the humanities (auslin, 2012; bauerlein, 2011; cohan, 2012a; cohan, 2012b; ellouk, 2011; fendrich, 2009; fish, 2007; fish 2008; fund, 2012; knapp, 2011; murdoch, 2011; pidgeon, 2007; riley, 2012; sini, 2011; stephens, 2012; wente, 2012; wood, 2012).


fig 1:
voyant collocate cluster visualization (sinclair and rockwell)

we find that arguments critical of the humanities cluster around certain ideas. principally, detractors accuse the humanities of lacking cultural and/or economic relevance. the most nuanced critiques mix or shade the charges of cultural and economic irrelevance. but other arguments refute the social usefulness of the humanities entirely, simply taking for granted their complete economic and social irrelevance. (interestingly, however, some of these articles also defend irrelevance as a virtue, as in the case of arguments from friends of the humanities who feel that irrelevance is the basic nature of the humanities and is perfectly acceptable.)

a related critique of the professoriate in the humanities is that our work is no longer accessible to a larger educated public. the argument is that we are our own worst enemies because we have descended into theoretical turf battles that no one cares about. for these commentators such cultural irrelevance goes hand in hand with the supposed lack of respect that academics show for the public’s values, as epitomized in marxism, feminism, post-colonialism, and other approaches that attack iconic ideas. the antidote sometimes proposed is a return to a nebulous concept of the traditional humanities — e.g., to the venerable search for the “beautiful.”

this paper will summarize our reading of the articles as well as present results from some text analysis of other rhetoric about the humanities.

analysis of arguments for the humanities
as important as it is to know the arguments critical of the humanities, it is also important to gather good arguments for the humanities. 4humanities has taken two approaches to this. the first is to blog good arguments as we come across them with summaries for those who are looking for essays to help them in their advocacy. we have also summarized these in a digestible form for people to review (bielby, 2012). finally we ran an all our ideas vote on the value of the humanities (http://allourideas.org/4humanities). at the time of writing this proposal there were over 1600 votes and 31 user submitted possible answers (as opposed to 12 seeds that we provided.) the top choices at the time of writing included:


there is obviously overlap in the top choices, but these indicate what the digital humanities community considers important. in the paper we will provide a fuller analysis of the data along with our list of the best arguments.

looking closely at the statistics
“liberal arts graduates frequently catch or surpass graduates with career-oriented majors in both job quality and compensation.” (koc, 2011)

in addition to defining and communicating the cultural value of the humanities, the 4humanities initiative is also committed to gathering data on the economic value of the humanities. one of the most pernicious arguments against the humanities has been the poor job prospects of graduating humanists. for this reason, we review the statistical arguments carefully, especially to highlight the fact that the data on compensation of humanists at mid-career paints a different story. a humanist may find it harder to get a first job with a degree, but she/he will probably rise faster than many with professional certification.

when making arguments for the humanities’ contribution to society, of course, it can be difficult to produce statistics, given that there has been no comprehensive study that gathers together available facts and figures in a usable manner. as part of the 4humanities project we have been compiling and listing all statistics we can find in the published literature about the benefit of the humanities to society. this was done by collating the literature – including newspaper articles, reports, websites, and op-ed pieces (listed on the 4humanities website) – and locating numeric references to the humanities. we have compiled such quantitative evidence, and at dh2013 we will present an infographic that sums up the statistical argument that the humanities are relevant to economic and intellectual development.

in addition, we have recently begun our “infographics friday” series (http://humanistica.ualberta.ca/category/for-the-public/humanities-infographics/), highlighting a particular statistic or graphical representation on the 4humanities website once a week, to demonstrate the range of evidence. a core remit of 4humanities is to gather, analyse, and disseminate this disparate information to provide a knowledge base upon which others can build their opinions and bolster their understanding of the humanities.

conclusion: 4humanities and a digital humanities response to the cuts, crisis, and criticism
we argue that the mission of public engagement and advocacy in the humanities as embodied by the 4humanities initiative provides a unique way to consolidate leading technological and methodological directions in dh with outreach to society. the humanities today have an advantage that was not available earlier: the analytical and communication methods of the digital humanities. not only do the digital humanities provide a strong argument for the relevance of humanities learning in a digital age; they also provide unique, fresh ways of studying the contributions of the humanities to society and then getting the message out. dh research and humanities advocacy can be one, where dh helps advance advocacy, and, reciprocally, the advocacy mission helps drive research in dh. the hunt is now on to develop and extend new generations of digital humanities platforms and tools that can integrate the core research and teaching work of humanists with public visibility and engagement. such platforms and tools (for publishing, editing, research, pedagogy, etc.) can be designed from the ground up, both to serve the needs of academics and to engage with today's networked public. this paper is a step in that direction.

references
auslin, m. (2012). knowledge is good. national review online. 15 march. http://www.aei.org/article/education/higher-education/knowledge-is-good/ (accessed 13 march 2013).
bauerlein, m. (2011). oh, the humanities! the weekly standard. 16 may. http://www.weeklystandard.com/articles/oh-humanities_559340.html (accessed 13 march 2013).
bielby, j. (2012). arguments for the humanities. circa wiki, october. http://circa.cs.ualberta.ca/index.php/circa:arguments_for_the_humanities (accessed 13 march 2013).
cohan, p. (2012a). to boost post-college prospects, cut humanities departments. forbes, 29 may. http://www.forbes.com/sites/petercohan/2012/05/29/to-boost-post-college-prospects-cut-humanities-departments/ (accessed 13 march 2013).
cohan, p. (2012b). the 13 most useless majors, from philosophy to journalism. the daily beast, 23 april. http://www.thedailybeast.com/galleries/2012/04/23/the-13-most-useless-majors-from-philosophy-to-journalism.html (accessed 13 march 2013).
davidson, c. n. (2011). strangers on a train. academe. 97 (5). http://www.aaup.org/aaup/pubsres/academe/2011/so/feat/davi.htm (accessed 13 march 2013).
davidson, c. n. (2012). humanities 2.0: promise, perils, predictions. in gold, m. (ed), debates in the digital humanities. minneapolis: university of minnesota press. 476-489.
davidson, c. n., and d. t. goldberg (2004). a manifesto for the humanities in a technological age. the chronicle of higher education: the chronicle review. 13 feb.
delblanco, a. (2011). college: what it was, is, and should be. princeton, nj: princeton university press.
ellouk, b. (2011). do we still need the humanities? the daily of the university of washington. 26 july. http://dailyuw.com/news/2011/jul/26/do-we-still-need-humanities/ (accessed 13 march 2013).
fendrich, l. (2009). the humanities have no purpose. the chronicle of higher education, 20 march. http://chronicle.com/blogs/brainstorm/the-humanities-have-no-purpose/6738 (accessed 13 march 2013).
fish, s. (2007). bound for academic glory? the new york times, 23 december. http://opinionator.blogs.nytimes.com/2007/12/23/bound-for-academic-glory/ (accessed 13 march 2013).
fish, s. (2008). will the humanities save us? the new york times, 6 january. http://opinionator.blogs.nytimes.com/2008/01/06/will-the-humanities-save-us/ (accessed 13 march 2013).
fish, s. (2010). the crisis of the humanities officially arrives. the new york times, 11 october. http://opinionator.blogs.nytimes.com/2010/10/11/the-crisis-of-the-humanities-officially-arrives/ (accessed 13 march 2013).
fund, j. (2012). censoring naomi riley. the national review online, 12 may. http://www.nationalreview.com/articles/299765/censoring-naomi-riley-john-fund (accessed 13 may 2013).
kirschenbaum, m. (2012). digital humanities as/is a tactical term. in gold, m. (ed), debates in the digital humanities. minneapolis: university of minnesota press, 415-428.
knapp, s. (2011). the enduring dilemma of the humanities. the phi beta kappa society, 29 march. http://www.pbk.org/home/focusnews.aspx?id=741 (accessed 13 march 2013).
koc, e. w. (2011). just wait 10 years. new york times, 21 march. http://www.nytimes.com/roomfordebate/2011/03/20/career-counselor-bill-gates-or-steve-jobs/your-college-major-matter-less-over-time. (accessed 13 march 2013).
lakoff, g. (2004). don’t think of an elephant!: know your values and frame the debate. white river, vt: chelsea green publishing company.
liu, a. (2012). where is cultural criticism in the digital humanities? in gold, m. (ed), debates in the digital humanities. minneapolis, mn: university of minnesota press, 490-509.
murdoch, r. (2011). the steve jobs model for education reform. the wall street journal, 15 october. http://online.wsj.com/article/sb10001424052970203914304576631100415237430.html (accessed 13 march 2013).
pidgeon, s. (2007). commented on fish, s. bound for academic glory? the new york times, 23 december. http://opinionator.blogs.nytimes.com/2007/12/23/bound-for-academic-glory/#comment-100883 (accessed 13 march 2013).
riley, n. s. (2012). the academic mob rules. the wall street journal, 8 may. http://online.wsj.com/article/sb10001424052702304363104577391842133259230.html (accessed 13 may 2013).
sinclair, s., and g. rockwell collocates cluster, from voyant tools. http://docs.voyant-tools.org/tools/links/ (accessed 13 march 2013).
sini, m. (2011). oh the humanities! (or: a critique of crisis). overland, 22 february. http://overland.org.au/blogs/loudspeaker/2011/02/%e2%80%98oh-the-humanities%e2%80%99-or-a-critique-of-crisis/ (accessed 13 march 2013).
stephens, b. (2012). to the class of 2012. the wall street journal, 9 may. http://online.wsj.com/article/sb10001424052702304451104577389750993890854.html (accessed 13 march 2013).
wente, m. (2012). quebec’s university students are in for a shock. the globe and mail, 1 may. http://www.theglobeandmail.com/commentary/quebecs-university-students-are-in-for-a-shock/article4104304/ (accessed 13 march 2013).
wood, p. (2012). rick santorum is right. the chronicle of higher education, 29 february. http://chronicle.com/blogs/innovations/rick-santorum-is-right/31769 (accessed 13 march 2013).",2.0,3.0,Voyant
1582,2013 - Nebraska,Nebraska,Freedom to Explore,2013,ADHO,ADHO,University of Nebraska–Lincoln,Lincoln,Nebraska,United States,http://dh2013.unl.edu/,Voyant Notebooks: Literate Programming and Programming Literacy,,Stéfan Sinclair;Geoffrey Rockwell,poster / demo / art installation,"Some thirty years ago Donald Knuth, a computer scientist, proposed literate programming as a better way of organizing narrative and code (1984). Knuth argued that more emphasis should be placed on explaining to humans what computers are meant to do, rather than simply instructing computers what to do. Knuth was especially interested in weaving together macrostyle code snippets with prose that provided a larger narrative context, not merely functional comments of specific lines of code that are the distilled remnants of an intellectual process.
Literate programming has been more influential in theory than in practice (Nørmark), despite several utilities and environments including Mathematica, Knuth's (C)WEB, Sweave for R, and Marginalia for Clojure. Perhaps the exigencies of programming in the real world correspond poorly with the vision of Knuth of the programmer as author: ""the practitioner of literate programming can be regarded as an essayist, whose main concern is with exposition and excellence of style"" (1992, 1). However, that balance of essayist and coder strikes us as perfectly appropriate for the digital humanities, a natural blend of the expression of intellectual process with the exposition of technical methodologies. The prose can gloss the code, or viceversa, in a symbiotic relationship that serves to strengthen an argument and demonstrate its own workings.
One of the most significant potential benefits of the literate programming paradigm is pedagogical: these works can both explain an interpretive insight and present the methodology for reproducing the data or results that were part of the process. Many widely-read digital humanities blogs already present these characteristics of exploration, explanation, interpretation and step-by-step instructions (see for example blogs by Ted Underwood, Benjamin Schmidt, Lisa Rhody and Scott Weingart). Literate programming can be more self-contained and more useful for those learning new methodologies and new programming techniques. This is about the principles of literate programming, but also about the potential for increasing programming literacy.
This poster will introduce Voyant Notebooks, a web-based literate programming environment designed for the digital humanities (see Appendix A). There is already a working prototype and we anticipate having a more feature-rich version available by July 2013. Voyant Notebooks inherits many of the characteristics of the Voyant Tools environment, including a concern for usability and flexibility (researchers and students should be able to use it with minimal or no training and with their own texts of interest). Voyant Notebooks also addresses one of the main weaknesses of Voyant Tools: the fact that most tools are constrained by assumptions about how they would be most commonly used. For instance, the Wordle-like (word cloud) Cirrus tool is designed to show the top frequency terms from a corpus or document; but what if the user instead wants to visualize the top frequency nouns, or people, or repeating phrases? All of that functionality could be built into the tool, but possibly at the cost of usability (endless menus and options), and it could still never address all of the possible use cases. Voyant Notebooks, by contrast, empowers the user to customize some of the functionality by leveraging the analytic capabilities of the Voyant back-end and the visualization interfaces in the front-end (like Cirrus). Our poster will have two parts, a) a usable demonstration on one or more laptops and b) a poster that illustrates how Voyant Notebooks implements Knuth’s concept of literate programming. In addition to these conceptual aspects, the poster will outline technical details about the Voyant Notebooks prototype for those interested, including the technologies used for both client-side (browser) and server-side components. Some of the technical challenges that will be described include:
•        managing the flow of code execution in an asynchronous architecture,
•        using web workers to avoid browser freezes during longer executions,
•        mitigating the security risks of user-defined and persistent Javascript code,
•        code variable scoping across editor instances and window components,
•        embedding of Voyant tool panels (visualizations) and other services,
•        developing a flexible API for different programming levels and styles,
•        developing an API that includes both client-side and server-side operations, and
•        ensuring efficiency of repeated code snippets during writing and viewing.
And of course, visitors to the poster session will be warmly encouraged to play with Voyant Notebooks.
Appendix A: Mockup of Voyant Notebooks (previously called Voyeur Notebooks).
 
Figure 1:
Mockup of Voyant Notebooks
References
Knuth, D. (1984). Literate Programming. The Computer Journal 27(2): 97-111, 1.
Knuth, D. (1992). Literate Programming. Stanford University Center for the Study of Language and Information.
Nørmark, K. (1998). Literate Programming: Issues and Problems. http://www.cs.aau.dk/~normark/litpro/issues-and-problems.html.
Sinclair, S. and G. Rockwell (2012). Teaching Computer-Assisted Text Analysis: Approaches to Learning New Methodologies. in Digital Humanities Pedagogy. Open Book Publishers.",txt,This text is republished here with permission from the original rights holder.,,literate computing;text analysis;voyant,English,text analysis,2013-01-01,"some thirty years ago donald knuth, a computer scientist, proposed literate programming as a better way of organizing narrative and code (1984). knuth argued that more emphasis should be placed on explaining to humans what computers are meant to do, rather than simply instructing computers what to do. knuth was especially interested in weaving together macrostyle code snippets with prose that provided a larger narrative context, not merely functional comments of specific lines of code that are the distilled remnants of an intellectual process.
literate programming has been more influential in theory than in practice (nørmark), despite several utilities and environments including mathematica, knuth's (c)web, sweave for r, and marginalia for clojure. perhaps the exigencies of programming in the real world correspond poorly with the vision of knuth of the programmer as author: ""the practitioner of literate programming can be regarded as an essayist, whose main concern is with exposition and excellence of style"" (1992, 1). however, that balance of essayist and coder strikes us as perfectly appropriate for the digital humanities, a natural blend of the expression of intellectual process with the exposition of technical methodologies. the prose can gloss the code, or viceversa, in a symbiotic relationship that serves to strengthen an argument and demonstrate its own workings.
one of the most significant potential benefits of the literate programming paradigm is pedagogical: these works can both explain an interpretive insight and present the methodology for reproducing the data or results that were part of the process. many widely-read digital humanities blogs already present these characteristics of exploration, explanation, interpretation and step-by-step instructions (see for example blogs by ted underwood, benjamin schmidt, lisa rhody and scott weingart). literate programming can be more self-contained and more useful for those learning new methodologies and new programming techniques. this is about the principles of literate programming, but also about the potential for increasing programming literacy.
this poster will introduce voyant notebooks, a web-based literate programming environment designed for the digital humanities (see appendix a). there is already a working prototype and we anticipate having a more feature-rich version available by july 2013. voyant notebooks inherits many of the characteristics of the voyant tools environment, including a concern for usability and flexibility (researchers and students should be able to use it with minimal or no training and with their own texts of interest). voyant notebooks also addresses one of the main weaknesses of voyant tools: the fact that most tools are constrained by assumptions about how they would be most commonly used. for instance, the wordle-like (word cloud) cirrus tool is designed to show the top frequency terms from a corpus or document; but what if the user instead wants to visualize the top frequency nouns, or people, or repeating phrases? all of that functionality could be built into the tool, but possibly at the cost of usability (endless menus and options), and it could still never address all of the possible use cases. voyant notebooks, by contrast, empowers the user to customize some of the functionality by leveraging the analytic capabilities of the voyant back-end and the visualization interfaces in the front-end (like cirrus). our poster will have two parts, a) a usable demonstration on one or more laptops and b) a poster that illustrates how voyant notebooks implements knuth’s concept of literate programming. in addition to these conceptual aspects, the poster will outline technical details about the voyant notebooks prototype for those interested, including the technologies used for both client-side (browser) and server-side components. some of the technical challenges that will be described include:
•        managing the flow of code execution in an asynchronous architecture,
•        using web workers to avoid browser freezes during longer executions,
•        mitigating the security risks of user-defined and persistent javascript code,
•        code variable scoping across editor instances and window components,
•        embedding of voyant tool panels (visualizations) and other services,
•        developing a flexible api for different programming levels and styles,
•        developing an api that includes both client-side and server-side operations, and
•        ensuring efficiency of repeated code snippets during writing and viewing.
and of course, visitors to the poster session will be warmly encouraged to play with voyant notebooks.
appendix a: mockup of voyant notebooks (previously called voyeur notebooks).
 
figure 1:
mockup of voyant notebooks
references
knuth, d. (1984). literate programming. the computer journal 27(2): 97-111, 1.
knuth, d. (1992). literate programming. stanford university center for the study of language and information.
nørmark, k. (1998). literate programming: issues and problems. http://www.cs.aau.dk/~normark/litpro/issues-and-problems.html.
sinclair, s. and g. rockwell (2012). teaching computer-assisted text analysis: approaches to learning new methodologies. in digital humanities pedagogy. open book publishers.",13.0,13.0,Voyant
