Date,Location,Source,Target,Weight
1996-01-01,"Bergen, Norway",TEI,Japanese classical text,2
1996-01-01,"Bergen, Norway",TEI,archaeology,1
1996-01-01,"Bergen, Norway",TEI,codicology,1
1996-01-01,"Bergen, Norway",TEI,computer assisted collation,1
1996-01-01,"Bergen, Norway",TEI,corpora,11
1996-01-01,"Bergen, Norway",TEI,correctors,1
1996-01-01,"Bergen, Norway",TEI,databases,1
1996-01-01,"Bergen, Norway",TEI,dictionary,21
1996-01-01,"Bergen, Norway",TEI,digital library,1
1996-01-01,"Bergen, Norway",TEI,dynamic annotating,1
1996-01-01,"Bergen, Norway",TEI,editing,1
1996-01-01,"Bergen, Norway",TEI,electronic books,1
1996-01-01,"Bergen, Norway",TEI,electronic publishing,6
1996-01-01,"Bergen, Norway",TEI,electronic-editing,1
1996-01-01,"Bergen, Norway",TEI,full-text databases,2
1996-01-01,"Bergen, Norway",TEI,hebrew,5
1996-01-01,"Bergen, Norway",TEI,history,21
1996-01-01,"Bergen, Norway",TEI,hypertext,1
1996-01-01,"Bergen, Norway",TEI,korean,21
1996-01-01,"Bergen, Norway",TEI,linking,1
1996-01-01,"Bergen, Norway",TEI,manual,5
1996-01-01,"Bergen, Norway",TEI,markup theory,6
1996-01-01,"Bergen, Norway",TEI,mecs,9
1996-01-01,"Bergen, Norway",TEI,meta description,29
1996-01-01,"Bergen, Norway",TEI,midrash,5
1996-01-01,"Bergen, Norway",TEI,new testament manuscripts,1
1996-01-01,"Bergen, Norway",TEI,reading activities,1
1996-01-01,"Bergen, Norway",TEI,scholarly editing,1
1996-01-01,"Bergen, Norway",TEI,scholarly edition,21
1996-01-01,"Bergen, Norway",TEI,sgml,32
1996-01-01,"Bergen, Norway",TEI,sgml/tei,1
1996-01-01,"Bergen, Norway",TEI,structured documents,1
1996-01-01,"Bergen, Norway",TEI,tact,4
1996-01-01,"Bergen, Norway",TEI,teaching,6
1996-01-01,"Bergen, Norway",TEI,tei,25
1996-01-01,"Bergen, Norway",TEI,tei-sgml applications,1
1996-01-01,"Bergen, Norway",TEI,text encoding,55
1996-01-01,"Bergen, Norway",TEI,women writers project,1
1997-01-01,"Kingston, Ontario, Canada",TEI,Japanese classical text,2
1997-01-01,"Kingston, Ontario, Canada",TEI,WWW,4
1997-01-01,"Kingston, Ontario, Canada",TEI,Wordsworth,1
1997-01-01,"Kingston, Ontario, Canada",TEI,archival imaging,3
1997-01-01,"Kingston, Ontario, Canada",TEI,computer methods,1
1997-01-01,"Kingston, Ontario, Canada",TEI,corpora,4
1997-01-01,"Kingston, Ontario, Canada",TEI,database,3
1997-01-01,"Kingston, Ontario, Canada",TEI,databases,1
1997-01-01,"Kingston, Ontario, Canada",TEI,e-texts,1
1997-01-01,"Kingston, Ontario, Canada",TEI,early American Fiction,3
1997-01-01,"Kingston, Ontario, Canada",TEI,editing,3
