Date,Location,Source,Target,Weight
2013-01-01,"Lincoln, Nebraska, United States","GLAM: galleries, libraries, archives, museums",Drupal,2
2013-01-01,"Lincoln, Nebraska, United States","GLAM: galleries, libraries, archives, museums",Google Books,1
2013-01-01,"Lincoln, Nebraska, United States","GLAM: galleries, libraries, archives, museums",TEI,3
2013-01-01,"Lincoln, Nebraska, United States","GLAM: galleries, libraries, archives, museums",Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",agent modeling and simulation,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",agent modeling and simulation,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",anthropology,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",anthropology,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",archaeology,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",archaeology,TEI,2
2013-01-01,"Lincoln, Nebraska, United States",archaeology,Twitter,8
2013-01-01,"Lincoln, Nebraska, United States","archives, repositories, sustainability and preservation",Drupal,8
2013-01-01,"Lincoln, Nebraska, United States","archives, repositories, sustainability and preservation",Google Books,3
2013-01-01,"Lincoln, Nebraska, United States","archives, repositories, sustainability and preservation",Neatline,2
2013-01-01,"Lincoln, Nebraska, United States","archives, repositories, sustainability and preservation",Python,1
2013-01-01,"Lincoln, Nebraska, United States","archives, repositories, sustainability and preservation",TEI,61
2013-01-01,"Lincoln, Nebraska, United States","archives, repositories, sustainability and preservation",Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",art history,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",art history,TEI,2
2013-01-01,"Lincoln, Nebraska, United States","audio, video, multimedia",Gephi,2
2013-01-01,"Lincoln, Nebraska, United States","audio, video, multimedia",Python,1
2013-01-01,"Lincoln, Nebraska, United States","audio, video, multimedia",TEI,3
2013-01-01,"Lincoln, Nebraska, United States","audio, video, multimedia",Twitter,3
2013-01-01,"Lincoln, Nebraska, United States","audio, video, multimedia",Voyant,2
2013-01-01,"Lincoln, Nebraska, United States","audio, video, multimedia",Zotero,1
2013-01-01,"Lincoln, Nebraska, United States",authorship attribution / authority,Python,1
2013-01-01,"Lincoln, Nebraska, United States",authorship attribution / authority,TEI,1
2013-01-01,"Lincoln, Nebraska, United States",bibliographic methods / textual studies,Gephi,14
2013-01-01,"Lincoln, Nebraska, United States",bibliographic methods / textual studies,Google Books,1
2013-01-01,"Lincoln, Nebraska, United States",bibliographic methods / textual studies,Python,3
2013-01-01,"Lincoln, Nebraska, United States",bibliographic methods / textual studies,TEI,69
2013-01-01,"Lincoln, Nebraska, United States",bibliographic methods / textual studies,Twitter,2
2013-01-01,"Lincoln, Nebraska, United States",bibliographic methods / textual studies,Zotero,2
2013-01-01,"Lincoln, Nebraska, United States",classical studies,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",concording and indexing,Python,1
2013-01-01,"Lincoln, Nebraska, United States",concording and indexing,TEI,36
2013-01-01,"Lincoln, Nebraska, United States",content analysis,Gephi,3
2013-01-01,"Lincoln, Nebraska, United States",content analysis,Google Books,2
2013-01-01,"Lincoln, Nebraska, United States",content analysis,Python,4
2013-01-01,"Lincoln, Nebraska, United States",content analysis,TEI,16
2013-01-01,"Lincoln, Nebraska, United States",content analysis,Twitter,1
2013-01-01,"Lincoln, Nebraska, United States",content analysis,Voyant,8
2013-01-01,"Lincoln, Nebraska, United States",content analysis,Zotero,1
2013-01-01,"Lincoln, Nebraska, United States","copyright, licensing, and open access",Python,1
2013-01-01,"Lincoln, Nebraska, United States",corpora and corpus activities,Gephi,1
2013-01-01,"Lincoln, Nebraska, United States",corpora and corpus activities,Google Books,2
2013-01-01,"Lincoln, Nebraska, United States",corpora and corpus activities,Python,1
2013-01-01,"Lincoln, Nebraska, United States",corpora and corpus activities,TEI,18
2013-01-01,"Lincoln, Nebraska, United States","creative and performing arts, including writing",Gephi,1
2013-01-01,"Lincoln, Nebraska, United States","creative and performing arts, including writing",Python,3
2013-01-01,"Lincoln, Nebraska, United States","creative and performing arts, including writing",TEI,1
