Source,Target,Date,Location,Weight,Latitude,Longitude,Coordinates
Drupal,Gephi,1/1/2011 0:00:00,"Stanford, California, United States",4,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Drupal,Gephi,1/1/2012 0:00:00,"Hamburg, Germany",15,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Drupal,Gephi,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",35,40.813616,-96.7025955,"40.813616, -96.7025955"
Drupal,Gephi,1/1/2014 0:00:00,"Lausanne, Switzerland",23,46.5196535,6.6322734,"46.5196535, 6.6322734"
Drupal,Gephi,1/1/2015 0:00:00,"Sydney, Australia",11,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Drupal,Gephi,1/1/2016 0:00:00,"Kraków, Poland",43,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Drupal,Gephi,1/1/2017 0:00:00,"Montréal, Canada",31,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Drupal,Gephi,1/1/2018 0:00:00,"Mexico City, Mexico",8,19.4326077,-99.133208,"19.4326077, -99.133208"
Drupal,Gephi,1/1/2019 0:00:00,"Utrecht, Netherlands",15,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Drupal,Gephi,1/1/2020 0:00:00,"Ottawa, Ontario, Canada",11,45.4215296,-75.6971931,"45.4215296, -75.6971930999999"
Drupal,Gephi,1/1/2022 0:00:00,"Tokyo, Japan",9,35.6764225,139.650027,"35.6764225, 139.650027"
Drupal,Google Books,1/1/2009 0:00:00,"College Park, Maryland, United States",17,38.9896967,-76.93776,"38.9896967, -76.93776"
Drupal,Google Books,1/1/2010 0:00:00,"London, England, United Kingdom",5,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Drupal,Google Books,1/1/2011 0:00:00,"Stanford, California, United States",13,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Drupal,Google Books,1/1/2012 0:00:00,"Hamburg, Germany",26,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Drupal,Google Books,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",21,40.813616,-96.7025955,"40.813616, -96.7025955"
Drupal,Google Books,1/1/2014 0:00:00,"Lausanne, Switzerland",16,46.5196535,6.6322734,"46.5196535, 6.6322734"
Drupal,Google Books,1/1/2015 0:00:00,"Sydney, Australia",15,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Drupal,Google Books,1/1/2016 0:00:00,"Kraków, Poland",35,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Drupal,Google Books,1/1/2017 0:00:00,"Montréal, Canada",6,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Drupal,Google Books,1/1/2018 0:00:00,"Mexico City, Mexico",11,19.4326077,-99.133208,"19.4326077, -99.133208"
Drupal,Google Books,1/1/2019 0:00:00,"Utrecht, Netherlands",7,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Drupal,Google Books,1/1/2020 0:00:00,"Ottawa, Ontario, Canada",9,45.4215296,-75.6971931,"45.4215296, -75.6971930999999"
Drupal,Google Books,1/1/2022 0:00:00,"Tokyo, Japan",6,35.6764225,139.650027,"35.6764225, 139.650027"
Drupal,Neatline,1/1/2010 0:00:00,"London, England, United Kingdom",6,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Drupal,Neatline,1/1/2012 0:00:00,"Hamburg, Germany",44,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Drupal,Neatline,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",32,40.813616,-96.7025955,"40.813616, -96.7025955"
Drupal,Neatline,1/1/2014 0:00:00,"Lausanne, Switzerland",18,46.5196535,6.6322734,"46.5196535, 6.6322734"
Drupal,Neatline,1/1/2015 0:00:00,"Sydney, Australia",2,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Drupal,Neatline,1/1/2016 0:00:00,"Kraków, Poland",29,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Drupal,Neatline,1/1/2017 0:00:00,"Montréal, Canada",11,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Drupal,Neatline,1/1/2018 0:00:00,"Mexico City, Mexico",4,19.4326077,-99.133208,"19.4326077, -99.133208"
Drupal,Neatline,1/1/2019 0:00:00,"Utrecht, Netherlands",4,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Drupal,Palladio,1/1/2015 0:00:00,"Sydney, Australia",18,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Drupal,Palladio,1/1/2016 0:00:00,"Kraków, Poland",22,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Drupal,Palladio,1/1/2017 0:00:00,"Montréal, Canada",4,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Drupal,Palladio,1/1/2018 0:00:00,"Mexico City, Mexico",2,19.4326077,-99.133208,"19.4326077, -99.133208"
Drupal,Palladio,1/1/2019 0:00:00,"Utrecht, Netherlands",4,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Drupal,Palladio,1/1/2020 0:00:00,"Ottawa, Ontario, Canada",9,45.4215296,-75.6971931,"45.4215296, -75.6971930999999"
Drupal,Python,1/1/2009 0:00:00,"College Park, Maryland, United States",6,38.9896967,-76.93776,"38.9896967, -76.93776"
Drupal,Python,1/1/2010 0:00:00,"London, England, United Kingdom",5,51.5072178,-0.1275862,"51.5072178, -0.1275862"
