Tool,2015,2016,2017,2018,2019
Abbot,1,0,0,0,0
ABBYY FineReader,0,0,1,0,1
Academia.edu,0,0,0,1,0
Adobe After Effects,0,1,0,0,0
Adobe Flash,0,0,0,0,1
Adobe Illustrator,0,0,0,0,1
Adobe InDesign,1,0,0,0,0
Advene,0,0,0,0,1
Alpheios,1,0,0,0,0
Alveo,1,0,0,0,0
ANNIS,0,0,0,1,1
Annotation Studio,0,2,4,0,0
Annotorious,0,0,1,0,0
AntConc,0,2,2,1,2
Anthologize,0,0,1,0,0
Anvil,0,0,1,0,0
ArcGIS,2,3,2,2,3
Archive-It,0,1,1,0,0
arts-humanities.net,0,1,1,0,0
AskSam,0,1,0,0,0
ATLAS.ti,0,1,1,0,0
Audacity,0,1,0,0,0
AustESE,1,0,0,0,0
Basecamp,0,0,1,0,0
Beautiful Soup,0,0,0,1,0
Blacklight,1,0,1,1,1
Blender,1,0,0,1,1
Bokeh,0,1,0,0,1
Bookworm,1,1,2,0,0
Bootstrap,1,3,4,1,5
BuddyPress,0,0,0,1,0
Carto | CartoDB,0,1,2,5,3
CATMA,1,0,3,0,1
Chart.js,0,0,1,0,0
Chrome,1,3,2,1,0
Chronos Timeline,0,1,0,0,0
COBOL,0,0,0,0,1
CollateX,4,2,1,5,6
Collex,0,1,0,0,0
ColorBrewer,0,0,0,0,1
Commons In A Box,1,0,1,1,0
Confluence,0,0,1,0,0
CONTENTdm,1,0,0,0,0
CQPweb,0,2,1,0,0
Cytoscape,2,0,3,1,0
D3.js,5,6,5,5,2
Dataverse,0,1,1,0,0
Dedoose,0,0,1,0,0
DH Press,0,0,1,0,0
DiRT Directory,0,1,1,0,0
Diva.js,0,1,0,0,1
Dropbox,0,2,2,0,0
Drupal,1,6,5,2,5
DSpace,0,1,1,0,0
EATS,1,0,0,1,0
ediarum,0,0,0,0,2
EEBO-TCP,3,4,5,0,3
eLaborate,0,0,1,0,0
ELAN,0,1,0,0,2
EndNote,0,0,0,1,0
Evernote,0,0,1,0,0
EVI-LINHD,0,1,0,0,0
Excel,5,9,3,6,7
Exhibit 3.0,1,0,0,0,0
eXist-db,0,4,2,2,5
ezlinavis,0,0,0,0,1
FAIMS Mobile Platform,1,0,0,0,0
Fedora Commons,0,0,2,0,0
Finale,0,1,0,0,0
Firefox,2,3,2,0,0
Freebase,3,1,0,0,0
FromThePage,1,1,0,0,0
Gamera,0,0,0,0,2
GAMS,0,4,0,0,4
GapVis,0,0,1,0,0
GATE,2,2,0,1,1
GeoNames,2,4,3,1,8
GeoTemCo,0,1,0,0,0
Gephi,11,16,14,10,9
gFacet,1,0,0,0,0
GitHub,2,6,17,5,10
Google Books,6,8,8,4,5
Google Docs,0,0,0,0,1
Google Drive,0,0,2,0,1
Google Maps,4,5,1,1,2
Google Ngram Viewer,0,3,1,0,0
Google Scholar,1,3,1,0,0
Graphviz,0,0,0,0,1
H-Net,0,1,0,0,0
HathiTrust,9,11,10,4,3
HyperImage,0,1,0,0,0
HyperPo,0,1,0,0,0
Hypothes.is,0,1,6,1,0
Icon,1,0,0,0,0
igraph,2,0,0,0,0
ImageJ,0,1,0,0,1
ImagePlot,0,1,0,0,0
Inkscape,0,2,0,0,0
IRaMuTeQ,0,1,0,0,0
IsaViz,1,0,0,0,0
Islandora,1,0,0,0,1
JavaScript,8,18,12,6,15
Jekyll,0,2,2,3,1
JGAAP,0,0,0,3,1
Joomla,0,1,1,0,0
jsLDA,0,0,0,0,1
Juxta,4,2,2,1,1
Koha,0,0,0,1,0
KORA,1,0,0,0,0
KWIC,4,0,2,1,3
Leaflet,1,2,7,2,2
Lexomics,0,0,1,0,0
Lexos,0,1,3,1,1
LilyPond,1,0,0,0,0
LimeSurvey,0,0,0,0,1
LIWC | Linguistic Inquiry and Word Count,0,0,0,1,4
LodLive,1,0,0,0,0
Lucene,1,5,0,0,1
